# epoch  line-search objective  step  its  ok
298    0.48213207E+01    0.1000E+01    1   T
299    0.47842967E+01    0.1000E+01    1   T
300    0.47418110E+01    0.1000E+01    1   T
301    0.47033841E+01    0.1000E+01    1   T
302    0.46542842E+01    0.1000E+01    1   T
303    0.46257073E+01    0.1000E+01    1   T
304    0.45915896E+01    0.1000E+01    1   T
305    0.45685452E+01    0.1000E+01    1   T
306    0.45420983E+01    0.1000E+01    1   T
307    0.44917558E+01    0.1000E+01    1   T
308    0.44885015E+01    0.1000E+01    1   T
309    0.44186942E+01    0.1000E+01    1   T
310    0.43949808E+01    0.1000E+01    1   T
311    0.43583793E+01    0.1000E+01    1   T
312    0.43259955E+01    0.1000E+01    1   T
313    0.42947760E+01    0.1000E+01    1   T
314    0.42701426E+01    0.1000E+01    1   T
315    0.42407555E+01    0.1000E+01    1   T
316    0.42193288E+01    0.1000E+01    1   T
317    0.41917278E+01    0.1000E+01    1   T
318    0.41785224E+01    0.1000E+01    1   T
319    0.41676215E+01    0.1000E+01    1   T
320    0.41406218E+01    0.1000E+01    1   T
321    0.41190389E+01    0.1000E+01    1   T
322    0.40847334E+01    0.1000E+01    1   T
323    0.40639832E+01    0.1000E+01    1   T
324    0.40442978E+01    0.1000E+01    1   T
325    0.40253980E+01    0.1000E+01    1   T
326    0.40003910E+01    0.1000E+01    1   T
327    0.39820318E+01    0.1000E+01    1   T
328    0.39650829E+01    0.1000E+01    1   T
329    0.39506359E+01    0.1000E+01    1   T
330    0.39337920E+01    0.1000E+01    1   T
331    0.39212812E+01    0.1000E+01    1   T
332    0.39115612E+01    0.1000E+01    1   T
333    0.38894926E+01    0.1000E+01    1   T
334    0.38787166E+01    0.5000E+00    2   T
335    0.38633495E+01    0.1000E+01    1   T
336    0.38514341E+01    0.1000E+01    1   T
337    0.38351918E+01    0.1000E+01    1   T
338    0.38048862E+01    0.1000E+01    1   T
339    0.37915337E+01    0.5000E+00    2   T
340    0.37745256E+01    0.1000E+01    1   T
341    0.37627190E+01    0.1000E+01    1   T
342    0.37473386E+01    0.1000E+01    1   T
343    0.37156126E+01    0.1000E+01    1   T
344    0.36871192E+01    0.1000E+01    1   T
345    0.36647752E+01    0.1000E+01    1   T
346    0.36462971E+01    0.1000E+01    1   T
347    0.36283787E+01    0.1000E+01    1   T
348    0.36082084E+01    0.1000E+01    1   T
349    0.35852429E+01    0.1000E+01    1   T
350    0.35623050E+01    0.1000E+01    1   T
351    0.35396466E+01    0.1000E+01    1   T
352    0.35142722E+01    0.1000E+01    1   T
353    0.34890368E+01    0.1000E+01    1   T
354    0.34657500E+01    0.1000E+01    1   T
355    0.34498507E+01    0.1000E+01    1   T
356    0.34310242E+01    0.1000E+01    1   T
357    0.34105636E+01    0.1000E+01    1   T
358    0.33984283E+01    0.1000E+01    1   T
359    0.33842690E+01    0.1000E+01    1   T
360    0.33728861E+01    0.1000E+01    1   T
361    0.33661066E+01    0.1000E+01    1   T
362    0.33597442E+01    0.1000E+01    1   T
363    0.33513835E+01    0.1000E+01    1   T
